Vodka,"Vodka is a clear distilled alcoholic beverage. Different varieties originated in Poland, Russia and Sweden. Vodka is composed mainly of water and ethanol, but sometimes with traces of impurities and flavourings. Traditionally it is made by distilling liquid from fermented cereal grains. Potatoes have been used in more recent times, and some modern brands use fruits, honey, or maple sap as the base."
Triple-sec,Triple sec is an orange-flavoured liqueur that originated in France. It contains 15–40% alcohol by volume. It is made by macerating sun-dried orange skins in alcohol for at least 24 hours before undergoing a three- step distillation process.
White Rum,"White rum is made from molasses or sugarcane juice, depending on its country of origin. Sugar can be added to the spirit, again depending on the rules of the country in which it's produced."
Orange Curacao,"Orange Curacao is a liqueur flavored with the dried peel of the bitter orange laraha, a citrus fruit, grown on the Dutch island of Curaçao."
Dark Rum,"Dark Rum is one grade darker than is gold counterpart. Unlike White Rum, which is often aged in stainless steel or oak casks, Dark Rum’s aging process is much longer and usually takes place in barrels that have been heavily charred."
Rum,"Rum is a liquor made by fermenting then distilling sugarcane molasses or sugarcane juice. The distillate, a clear liquid, is usually aged in oak barrels. Most rums are produced in Caribbean and North and South American countries, but also in other sugar-producing countries, such as the Philippines and Taiwan."
Tequila,"Tequila is a distilled beverage made from the blue agave plant, primarily in the area surrounding the city of Tequila 65 km (40 mi) northwest of Guadalajara, and in the Jaliscan Highlands (Los Altos de Jalisco) of the central western Mexican state of Jalisco."
Gin,"Gin is a distilled alcoholic drink that derives its predominant flavour from juniper berries. Gin originated as a medicinal liquor made by monks and alchemists across Europe, particularly in southern France, Flanders and the Netherlands, to provide aqua vita from distillates of grapes and grains."
Malibu,"Malibu is a coconut flavored liqueur, made with Caribbean rum. The original version of Malibu rum is flavored with coconut. There are many different versions of Malibu rum in the worldwide market, flavored with various tropical fruits such as banana, pineapple, passion fruit, island melon and mango."
Peach Schnapps,"Peach schnapps is a type of schnapps made by adding peach flavoring to a clear grain spirit. The flavor is intensely fruity and peach-forward, making it great for adding flavor."
Campari,"Campari is an Italian alcoholic liqueur, obtained from the infusion of herbs and fruit (including chinotto and cascarilla) in alcohol and water. It is a bitters, characterised by its dark red colour."
Cognac,"Cognac is a variety of brandy named after the commune of Cognac, France. It is produced in the surrounding wine-growing region in the departments of Charente and Charente-Maritime."
Coffee Liqueur,"A liqueur coffee is beverage that consists of coffee and a shot of liqueur. It was first produced in 16th century. Some of its core ingredients include roasted coffee beans and their powder, sugar (white or brown), vanilla syrup, espresso, and alcohol."
Blue Curacao,"It'll have a slightly bitter, yet sweet orange flavor. This bitter orange flavoring comes from the oils extracted from the dried peels of the Laraha orange, which is locally grown in Curacao."
White Wine,"White wine is a wine that is fermented without skin contact. The colour can be straw-yellow, yellow-green, or yellow-gold. It is produced by the alcoholic fermentation of the non-coloured pulp of grapes, which may have a skin of any colour."